,Loc,Lng,Lat,Cam,Police,Safety
0,Patiala Guru Jindabad,76.40136,30.34129,Yes,Yes,4
1,Prontha market,76.40286,30.34036,No ,Sometime,1
2,Priti Oils,76.40381,30.34137,No,No,0
3,SBI ATM,76.40396,30.34174,Yes,No,2
4,PSPCL Sub Divisional Office,76.40472,30.34222,may be,may be,2
5,sri shani dev mandir,76.40565,30.34388,no,no,0
6,Office Food & Supply ,76.40591,30.34362,no,no,0
7,Sheetla Mata Mandir,76.40653,30.34611,no,no,0
8,Easy Day,76.41255,30.35145,No,No,0
9,Hotel ontario,76.41257,30.35115,may be,no,1
10,Diesel Loco Modernisation Works,76.41621,30.35506,may be,No,1
11,DMW post office,76.41901,30.35693,may be,may be,2
12,DMW Hospital,76.41986,30.35714,yes,may be,3
13,DMW Stadium ,76.42252,30.35968,no,Sometime,1
14,Gurdawara Dashmesh Bhawan,76.42567,30.35479,may be,Sometime,2
15,Mahadev Furniture,76.42612,30.35477,No,Sometime,1
16,Public Toilet,76.42759,30.35292,Yes,Yes,4
17,Badi Nadhi,76.42768,30.35292,no,Sometime,1
18,Jashandeep cyber fuel,76.42898,30.35234,Yes,No,2
19,Kakkar Tent House,76.42959,30.35078,Yes,Sometime,3
20,Hotel HD Residency,76.43044,30.35139,yes,Sometime,3
21,Opera Ielts,76.43168,30.35245,May be,no,1
22,St. Xaviers International School,76.43237,30.35325,No,Yes,3
23,Police Station (urban estate),76.43543,30.35499,yes,Yes,4
24,PDA Park,76.44283,30.35634,no,no,0
25,Student's Parking lot,76.44595,30.35854,yes,yes,4
